Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Malaysia,MYS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9369.102158,9699.600463,9984.163681,10416.04169,10777.76652,11114.56053,10382.72748,10605.67696,11399.39714,11691.36127
Maldives,MDV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9530.588447,9480.431513,9688.248279,9972.377136,10453.63552,10888.64456,7164.307384,9731.556181,11035.58247,11534.9169
Mali,MLI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,703.2310345,723.5042049,741.7976347,756.4280732,767.5715955,779.326625,745.8859848,744.7604273,747.1529265,762.6460414
Malta,MLT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,23286.22645,24921.71418,25181.4771,27164.30042,28177.54954,29021.33579,26071.2199,29152.50721,30760.6355,31189.63321
Marshall Islands,MHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3559.243062,3708.215562,3872.452646,4114.260987,4460.33625,5061.103713,5066.005839,5288.390025,5313.444827,5429.088485
Mauritania,MRT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1522.759119,1562.726836,1541.162878,1595.233276,1628.038855,1635.839997,1588.362034,1559.809845,1616.981803,1628.087523
Mauritius,MUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9181.615754,9507.871337,9868.327166,10247.69606,10652.48369,10956.94502,9362.874359,9679.121239,10570.42753,11318.60031
Mexico,MEX,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9947.886025,10098.17318,10161.35571,10240.31043,10343.35343,10228.98094,9279.049496,9756.858622,10078.60254,10326.95385
"Micronesia, Fed. Sts.",FSM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2774.694714,2891.322103,2893.08195,2903.554275,2890.493005,2996.317305,2918.516064,2973.05151,2923.222952,2919.047164
Moldova,MDA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2737.801851,2749.551371,2910.954869,3085.333058,3267.996104,3438.677327,3188.916916,3688.167294,3581.719725,3685.256705
Monaco,MCO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,165362.5096,170338.6804,173916.3158,168744.9942,178571.348,191194.5622,166822.5718,204610.1204,228667.9353,..
Mongolia,MNG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3909.91332,3919.351213,3892.652204,4023.785623,4242.300222,4385.111677,4106.602683,4107.183721,4249.675014,4483.755202
Montenegro,MNE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6307.018561,6517.192675,6707.85041,7023.433812,7381.80764,7684.183972,6515.536806,7390.308117,7889.237633,8375.222111
Morocco,MAR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3047.131104,3139.228271,3116.562988,3234.751709,3296.194092,3355.613281,3081.662109,3293.703125,3300.799805,3370.836426
Mozambique,MOZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,579.6423692,603.8385138,612.7245153,609.6735491,612.5990286,608.9636328,584.3149621,581.4443001,590.3689084,602.9199794
Myanmar,MMR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1090.832555,1157.783961,1216.012628,1280.854243,1351.3883,1430.136343,1291.407809,1128.309761,1165.605523,1168.687609
Namibia,NAM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4846.889512,4965.672765,4880.445038,4746.183329,4714.452518,4596.619576,4152.180648,4232.018936,4394.397099,4511.889397
Nauru,NRU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7500.734697,7587.25441,7726.693567,7084.350996,6881.754242,7341.868206,7346.670448,7792.163221,7861.683478,7847.664871
Nepal,NPL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,853.1480484,882.3076616,878.1503867,946.042556,1006.606907,1061.486276,1018.107911,1042.973972,1083.220378,1091.895691
Netherlands,NLD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,44521.89454,45193.40322,45938.78504,46997.34545,47826.81912,48443.73205,46303.21886,48913.51899,50546.78937,50100.19137
New Caledonia,NCL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,32428.57223,..,..,..,..,..,..,..,..
New Zealand,NZL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,38014.64355,38639.35019,39197.32753,39691.21332,40350.9122,40651.97447,39596.52662,41225.79278,42320.89244,41724.96853
Nicaragua,NIC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1960.688178,2025.324776,2087.696864,2153.612732,2052.133383,1965.275495,1904.492904,2071.923795,2119.395179,2185.448135
Niger,NER,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,478.8551539,481.1113011,489.4338123,494.6354943,510.5955143,520.9346433,519.6960778,507.7103245,547.4201513,540.5848243
Nigeria,NGA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2677.493581,2679.554223,2570.959759,2526.99961,2512.080475,2505.462239,2401.183415,2429.58529,2449.587981,2460.394496
North Macedonia,MKD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5053.750012,5262.686719,5429.946784,5510.818629,5698.393345,5961.584754,5743.726494,6064.923151,6217.951641,6350.243407
